code,name,themes,theme_count
035760,CJ ENM,엔터테인먼트/K-콘텐츠,1
097950,CJ제일제당,K-푸드,1
005830,DB손해보험,금융(은행/증권/보험),1
000990,DB하이텍,반도체,1
375500,DL이앤씨,건설,1
180400,DXVX,비만치료제(GLP-1),1
083450,GST,AI 데이터센터/전력망,1
006360,GS건설,건설,1
009540,HD한국조선해양,조선,1
443060,HD현대마린솔루션,조선,1
322000,HD현대에너지솔루션,ESS/BESS,1
267260,HD현대일렉트릭,"AI 데이터센터/전력망, 전력기기",2
329180,HD현대중공업,조선,1
028300,HLB,바이오/제약,1
047920,HLB제약,비만치료제(GLP-1),1
403870,HPSP,반도체,1
035900,JYP Ent.,엔터테인먼트/K-콘텐츠,1
105560,KB금융,금융(은행/증권/보험),1
030200,KT,"클라우드/데이터센터, 네오클라우드/GPU클라우드",2
051900,LG생활건강,화장품/K-뷰티,1
373220,LG에너지솔루션,"2차전지, ESS/BESS",2
011070,LG이노텍,자율주행,1
051910,LG화학,2차전지,1
079550,LIG디펜스앤에어로스페이스,"방산, 우주항공",2
010120,LS ELECTRIC,"AI 데이터센터/전력망, 전력기기",2
108320,LX세미콘,반도체,1
035420,NAVER,"AI(인공지능), 클라우드/데이터센터, 네오클라우드/GPU클라우드",3
005940,NH투자증권,금융(은행/증권/보험),1
010060,OCI홀딩스,태양광/풍력(신재생),1
005490,POSCO홀딩스,2차전지,1
218410,RFHIC,5G/6G/통신장비,1
056190,SFA,"2차전지, ESS/BESS",2
036540,SFA반도체,반도체,1
302440,SK바이오사이언스,바이오/제약,1
326030,SK바이오팜,바이오/제약,1
100090,SK오션플랜트,AI 데이터센터/전력망,1
017670,SK텔레콤,"AI(인공지능), 양자컴퓨터",2
000660,SK하이닉스,반도체,1
064960,SNT모티브,방산,1
100840,SNT에너지,원자력(SMR),1
079940,가비아,클라우드/데이터센터,1
399720,가온칩스,반도체,1
010130,고려아연,"2차전지, 금(원자재)",2
348150,고바이오랩,비만치료제(GLP-1),1
098460,고영,반도체,1
001570,금양,2차전지,1
036190,금화피에스시,원자력(SMR),1
033640,네패스,반도체,1
285490,노바텍,자율주행,1
006280,녹십자,바이오/제약,1
004370,농심,K-푸드,1
348340,뉴로메카,로봇/피지컬AI,1
023590,다우기술,클라우드/데이터센터,1
032190,다우데이타,클라우드/데이터센터,1
353200,대덕전자,AI서버 PCB/전자부품,1
290670,대보마그네틱,2차전지,1
078140,대봉엘에스,비만치료제(GLP-1),1
001680,대상,K-푸드,1
047040,대우건설,건설,1
069620,대웅제약,"바이오/제약, 비만치료제(GLP-1)",2
010170,대한광통신,5G/6G/통신장비,1
006650,대한유화,2차전지,1
263800,데이타솔루션,클라우드/데이터센터,1
033500,동성화인텍,조선,1
454910,두산로보틱스,로봇/피지컬AI,1
241560,두산밥캣,건설기계/중공업,1
034020,두산에너빌리티,"원자력(SMR), 가스발전/유틸리티",2
131970,두산테스나,반도체,1
203650,드림시큐리티,사이버보안,1
003160,디아이,반도체,1
347850,디앤디파마텍,비만치료제(GLP-1),1
315640,딥노이드,AI(인공지능),1
042510,라온시큐어,사이버보안,1
277810,레인보우로보틱스,로봇/피지컬AI,1
090360,로보스타,로봇/피지컬AI,1
108490,로보티즈,로봇/피지컬AI,1
280360,롯데웰푸드,K-푸드,1
328130,루닛,AI(인공지능),1
141080,리가켐바이오,바이오/제약,1
058470,리노공업,반도체,1
140410,메지온,바이오/제약,1
118990,모트렉스,자율주행,1
006800,미래에셋증권,금융(은행/증권/보험),1
003850,보령,바이오/제약,1
338220,뷰노,AI(인공지능),1
251630,브이원텍,2차전지,1
439580,블루엠텍,비만치료제(GLP-1),1
083650,비에이치아이,원자력(SMR),1
082920,비츠로셀,"2차전지, ESS/BESS",2
042370,비츠로테크,우주항공,1
065450,빅텍,방산,1
005180,빙그레,K-푸드,1
006400,삼성SDI,"2차전지, 자율주행",2
028260,삼성물산,건설,1
207940,삼성바이오로직스,바이오/제약,1
018260,삼성에스디에스,"클라우드/데이터센터, 네오클라우드/GPU클라우드",2
009150,삼성전기,"자율주행, AI서버 PCB/전자부품",2
005930,삼성전자,반도체,1
010140,삼성중공업,조선,1
016360,삼성증권,금융(은행/증권/보험),1
000810,삼성화재,금융(은행/증권/보험),1
006110,삼아알미늄,2차전지,1
003230,삼양식품,K-푸드,1
004380,삼익THK,로봇/피지컬AI,1
037460,삼지전자,5G/6G/통신장비,1
